URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
Symfony 2.7.0 demo app	50	100	100	PHP - previous master	241e43f2d8	https://github.com/php/php-src/commit/241e43f2d8	0.74370	0.75054	0.00113	0.15148	0.74541	0.06	0.74515	0.05	1.486	0.001	290408440	40.71
Symfony 2.7.0 demo app	50	100	100	PHP - master	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.74255	0.75432	0.00185	0.24822	0.74534	0.05	0.74503	0.03	2.671	0.110	290408125	40.97
Symfony 2.7.0 demo app	50	100	100	PHP - master (JIT)	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.71698	0.72268	0.00090	0.12486	0.71911	-3.47	0.71911	-3.45	0.734	0.000	270763820	48.00
Wordpress 6.2 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.57586	0.58498	0.00226	0.38998	0.58045	0.00	0.58148	0.00	-0.307	0.999	1123345518	43.74
Wordpress 6.2 main page	20	100	20	PHP - previous master	241e43f2d8	https://github.com/php/php-src/commit/241e43f2d8	0.57614	0.58376	0.00201	0.34568	0.58042	-0.00	0.58123	-0.04	-0.485	0.520	1119531328	44.23
Wordpress 6.2 main page	20	100	20	PHP - master	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.57582	0.59215	0.00234	0.40361	0.58070	0.04	0.58154	0.01	0.853	0.430	1119536914	44.23
Wordpress 6.2 main page	20	100	20	PHP - master (JIT)	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.51386	0.51957	0.00148	0.28593	0.51731	-10.88	0.51801	-10.91	-0.479	0.000	865595734	61.64
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42504	0.43856	0.00399	0.92357	0.43162	0.00	0.43268	0.00	-0.130	0.999	2020638097	26.57
bench.php	10	100	2	PHP - previous master	241e43f2d8	https://github.com/php/php-src/commit/241e43f2d8	0.42274	0.43794	0.00323	0.75689	0.42700	-1.07	0.42657	-1.41	1.581	0.000	2020586661	27.19
bench.php	10	100	2	PHP - master	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.42197	0.44009	0.00348	0.81442	0.42737	-0.98	0.42668	-1.39	1.658	0.000	2020586690	27.19
bench.php	10	100	2	PHP - master (JIT)	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.13675	0.14937	0.00397	2.76055	0.14377	-66.69	0.14564	-66.34	-0.315	0.000	536605692	27.95

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_03_00_50_13_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-03 00:50:13
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.2.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.47437	0.48197	0.00087	0.18363	0.47568	0.00	0.47555	0.00	4.140	0.999	180946768	43.62
Laravel 12.2.0 demo app	50	100	100	PHP - previous master	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.46993	0.47603	0.00081	0.17098	0.47141	-0.90	0.47125	-0.90	2.524	0.000	176329315	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.46429	0.47176	0.00083	0.17696	0.47016	-1.16	0.47012	-1.14	-3.315	0.000	176406001	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master (JIT)	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.44995	0.45479	0.00058	0.12841	0.45090	-5.21	0.45083	-5.20	3.255	0.000	147897067	53.51
Symfony 2.7.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.74280	0.75512	0.00136	0.18310	0.74476	0.00	0.74449	0.00	4.594	0.999	291620720	40.10
Symfony 2.7.0 demo app	50	100	100	PHP - previous master	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.74473	0.75872	0.00181	0.24244	0.74682	0.28	0.74654	0.28	4.591	0.000	290411947	40.70
Symfony 2.7.0 demo app	50	100	100	PHP - master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.74232	0.75436	0.00158	0.21184	0.74436	-0.05	0.74410	-0.05	3.090	0.000	290408120	40.95
Symfony 2.7.0 demo app	50	100	100	PHP - master (JIT)	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.71599	0.72026	0.00093	0.12986	0.71780	-3.62	0.71759	-3.61	0.698	0.000	270763895	47.98
Wordpress 6.2 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.57908	0.58353	0.00079	0.13642	0.58110	0.00	0.58098	0.00	0.536	0.999	1123345324	43.74
Wordpress 6.2 main page	20	100	20	PHP - previous master	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.57985	0.58371	0.00072	0.12457	0.58159	0.08	0.58155	0.10	0.447	0.000	1119531387	44.21
Wordpress 6.2 main page	20	100	20	PHP - master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.57970	0.58462	0.00083	0.14342	0.58206	0.17	0.58197	0.17	0.388	0.000	1119535793	44.21
Wordpress 6.2 main page	20	100	20	PHP - master (JIT)	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.51663	0.51950	0.00057	0.10946	0.51801	-10.86	0.51805	-10.83	-0.030	0.000	865596739	61.62
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42535	0.43777	0.00224	0.51536	0.43410	0.00	0.43412	0.00	-0.690	0.999	2020638245	26.57
bench.php	10	100	2	PHP - previous master	8c4f806fe8	https://github.com/php/php-src/commit/8c4f806fe8	0.42413	0.43695	0.00291	0.67989	0.42820	-1.36	0.42716	-1.60	1.477	0.000	2020586696	27.18
bench.php	10	100	2	PHP - master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.42463	0.43900	0.00225	0.52764	0.42730	-1.57	0.42666	-1.72	2.371	0.000	2020586649	27.17
bench.php	10	100	2	PHP - master (JIT)	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.14633	0.15099	0.00098	0.66244	0.14858	-65.77	0.14855	-65.78	0.225	0.000	536605610	27.93

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_04_00_50_33_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-04 00:50:33
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.2.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46939	0.48185	0.00101	0.21311	0.47576	0.00	0.47569	0.00	-0.229	0.999	180943511	43.62
Laravel 12.2.0 demo app	50	100	100	PHP - previous master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.46398	0.47335	0.00100	0.21332	0.47030	-1.15	0.47027	-1.14	-1.985	0.000	176330138	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.46645	0.46942	0.00064	0.13625	0.46789	-1.65	0.46782	-1.65	0.420	0.000	176410353	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.44888	0.45138	0.00047	0.10460	0.44991	-5.43	0.44985	-5.43	0.481	0.000	147892181	53.51
Symfony 2.7.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.74266	0.75451	0.00132	0.17687	0.74418	0.00	0.74393	0.00	5.048	0.999	291620634	40.10
Symfony 2.7.0 demo app	50	100	100	PHP - previous master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.74021	0.75328	0.00146	0.19662	0.74374	-0.06	0.74349	-0.06	3.059	0.000	290408439	40.70
Symfony 2.7.0 demo app	50	100	100	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.74164	0.74941	0.00155	0.20882	0.74379	-0.05	0.74338	-0.07	1.798	0.000	290408441	40.95
Symfony 2.7.0 demo app	50	100	100	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.71442	0.72501	0.00150	0.20990	0.71643	-3.73	0.71619	-3.73	3.524	0.000	270760543	47.98
Wordpress 6.2 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.57561	0.59056	0.00241	0.41521	0.57936	0.00	0.58022	0.00	0.807	0.999	1123347600	43.74
Wordpress 6.2 main page	20	100	20	PHP - previous master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.57684	0.58844	0.00232	0.39959	0.58035	0.17	0.58122	0.17	0.215	0.000	1119536601	44.21
Wordpress 6.2 main page	20	100	20	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.57627	0.58356	0.00209	0.36100	0.57952	0.03	0.58058	0.06	-0.214	0.092	1125641007	44.21
Wordpress 6.2 main page	20	100	20	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.51482	0.51992	0.00149	0.28751	0.51749	-10.68	0.51810	-10.71	-0.279	0.000	871697525	61.62
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42409	0.44029	0.00378	0.87474	0.43182	0.00	0.43234	0.00	-0.012	0.999	2020638209	26.57
bench.php	10	100	2	PHP - previous master	4c9bbaa79d	https://github.com/php/php-src/commit/4c9bbaa79d	0.42086	0.47623	0.00553	1.29446	0.42692	-1.13	0.42609	-1.45	7.362	0.000	2020586713	27.18
bench.php	10	100	2	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.42236	0.43546	0.00267	0.62589	0.42723	-1.06	0.42693	-1.25	0.882	0.000	2020586770	27.17
bench.php	10	100	2	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.13767	0.15021	0.00377	2.62171	0.14378	-66.70	0.14525	-66.40	-0.296	0.000	536605724	27.93

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_05_00_50_39_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-05 00:50:39
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.2.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.47421	0.48174	0.00086	0.18118	0.47543	0.00	0.47535	0.00	4.121	0.999	180946469	43.62
Laravel 12.2.0 demo app	50	100	100	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.46628	0.47206	0.00073	0.15606	0.46738	-1.69	0.46722	-1.71	2.904	0.000	176330429	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.46157	0.47019	0.00104	0.22252	0.46728	-1.71	0.46723	-1.71	-2.383	0.000	176407842	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.44804	0.45079	0.00042	0.09273	0.44912	-5.53	0.44905	-5.53	0.927	0.000	147892070	53.51
Symfony 2.7.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.74102	0.74467	0.00073	0.09882	0.74269	0.00	0.74255	0.00	0.556	0.999	291620645	40.10
Symfony 2.7.0 demo app	50	100	100	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.74054	0.75136	0.00165	0.22232	0.74247	-0.03	0.74210	-0.06	3.547	0.000	290408441	40.70
Symfony 2.7.0 demo app	50	100	100	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.73992	0.75142	0.00194	0.26085	0.74224	-0.06	0.74174	-0.11	2.778	0.000	290408436	40.95
Symfony 2.7.0 demo app	50	100	100	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.71459	0.71837	0.00075	0.10501	0.71592	-3.60	0.71589	-3.59	0.839	0.000	270763815	47.98
Wordpress 6.2 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.57939	0.58276	0.00073	0.12527	0.58085	0.00	0.58083	0.00	0.366	0.999	1123397049	43.74
Wordpress 6.2 main page	20	100	20	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.57964	0.58273	0.00069	0.11868	0.58093	0.01	0.58083	0.00	0.417	0.434	1125685503	44.21
Wordpress 6.2 main page	20	100	20	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.57954	0.59134	0.00207	0.35639	0.58144	0.10	0.58095	0.02	3.622	0.082	1125689939	44.21
Wordpress 6.2 main page	20	100	20	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.51685	0.51969	0.00056	0.10866	0.51823	-10.78	0.51826	-10.77	-0.012	0.000	871751227	61.62
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42955	0.44162	0.00235	0.54035	0.43481	0.00	0.43476	0.00	0.166	0.999	2020638191	26.57
bench.php	10	100	2	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.42472	0.43774	0.00310	0.72373	0.42842	-1.47	0.42731	-1.71	1.544	0.000	2020586714	27.18
bench.php	10	100	2	PHP - master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.42503	0.43983	0.00293	0.68548	0.42807	-1.55	0.42718	-1.74	2.506	0.000	2020586731	27.17
bench.php	10	100	2	PHP - master (JIT)	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.14463	0.15142	0.00133	0.90245	0.14694	-66.21	0.14675	-66.25	0.718	0.000	536605658	27.93

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_06_00_50_27_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-06 00:50:27
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.2.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.47697	0.48044	0.00066	0.13819	0.47837	0.00	0.47831	0.00	0.710	0.999	180946028	43.62
Laravel 12.2.0 demo app	50	100	100	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.46410	0.47402	0.00091	0.19378	0.47048	-1.65	0.47050	-1.63	-2.752	0.000	176329404	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.46931	0.47635	0.00082	0.17343	0.47077	-1.59	0.47069	-1.59	3.452	0.000	176406481	44.39
Laravel 12.2.0 demo app	50	100	100	PHP - master (JIT)	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.45196	0.45408	0.00044	0.09770	0.45296	-5.31	0.45291	-5.31	0.184	0.000	147896597	53.51
Symfony 2.7.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.74234	0.75753	0.00165	0.22079	0.74769	0.00	0.74746	0.00	3.660	0.999	291620720	40.10
Symfony 2.7.0 demo app	50	100	100	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.74532	0.75696	0.00214	0.28574	0.74786	0.02	0.74722	-0.03	2.198	0.159	290408640	40.70
Symfony 2.7.0 demo app	50	100	100	PHP - master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.74019	0.75502	0.00183	0.24436	0.74710	-0.08	0.74667	-0.11	1.432	0.000	290408440	40.95
Symfony 2.7.0 demo app	50	100	100	PHP - master (JIT)	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.71896	0.72376	0.00094	0.12985	0.72078	-3.60	0.72065	-3.59	0.715	0.000	270763763	47.98
Wordpress 6.2 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58077	0.58514	0.00074	0.12723	0.58215	0.00	0.58203	0.00	0.937	0.999	1123345632	43.74
Wordpress 6.2 main page	20	100	20	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.58005	0.59062	0.00112	0.19189	0.58202	-0.02	0.58190	-0.02	4.701	0.071	1125632534	44.21
Wordpress 6.2 main page	20	100	20	PHP - master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.58047	0.58382	0.00065	0.11191	0.58181	-0.06	0.58179	-0.04	0.710	0.001	1125636846	44.21
Wordpress 6.2 main page	20	100	20	PHP - master (JIT)	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.51878	0.52191	0.00056	0.10869	0.51959	-10.75	0.51952	-10.74	1.748	0.000	871695599	61.62
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42950	0.44516	0.00240	0.55252	0.43405	0.00	0.43384	0.00	1.170	0.999	2020638155	26.57
bench.php	10	100	2	PHP - previous master	cb63e4f998	https://github.com/php/php-src/commit/cb63e4f998	0.42418	0.44164	0.00271	0.63323	0.42814	-1.36	0.42755	-1.45	2.565	0.000	2020586642	27.18
bench.php	10	100	2	PHP - master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.42504	0.43981	0.00311	0.72628	0.42837	-1.31	0.42728	-1.51	1.948	0.000	2020586804	27.17
bench.php	10	100	2	PHP - master (JIT)	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.13840	0.14990	0.00146	0.99104	0.14684	-66.17	0.14673	-66.18	-1.688	0.000	536605627	27.93

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_14_00_50_30_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-14 00:50:30
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46097	0.46671	0.00093	0.20219	0.46168	0.00	0.46141	0.00	3.295	0.999	185272326	27.50
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	e4098da58a	https://github.com/php/php-src/commit/e4098da58a	0.46118	0.46328	0.00040	0.08731	0.46182	0.03	0.46174	0.07	1.412	0.000	180345197	26.96
Laravel 12.11.0 demo app	50	100	100	PHP - master	858d34fd32	https://github.com/php/php-src/commit/858d34fd32	0.46020	0.46653	0.00066	0.14238	0.46098	-0.15	0.46088	-0.11	6.230	0.000	180343208	26.93
